op,timestamp_dms,_id,message_id,message_text,chat_id,creator_id,user_type,course_session_id,creator_name,creator_avatar_url,created_at_ms,created_at_ts,rn,_doc
I,2025-12-16 06:14:47.000003,6940f8d7b7e9a1769e09b5bc,d138eac7-0be9-4526-91fc-7e8dea17b12e,انااا,e40659af-af5b-4b40-ab0b-90be7d20ce98,651253,STUDENT,70712,سارة السبيعي,,1765865687573,2025-12-16 06:14:47,1,"{ ""_id"" : { ""$oid"" : ""6940f8d7b7e9a1769e09b5bc"" }, ""id"" : ""d138eac7-0be9-4526-91fc-7e8dea17b12e"", ""text"" : ""انااا"", ""chat_id"" : ""e40659af-af5b-4b40-ab0b-90be7d20ce98"", ""creator_id"" : 651253, ""user_type"" : ""STUDENT"", ""metadata"" : { ""courseSessionId"" : 70712 }, ""creator_metadata"" : { ""name"" : ""سارة السبيعي"", ""avatarUrl"" : { ""url"" : ""https://cdn.studyatnoon.com/public/school_student/651253/2ea99335-56ad-4ab5-a2b8-7cd72a9c30ab_thumbnail.jpeg"" } }, ""created_at"" : { ""$date"" : 1765865687573 }, ""_class"" : ""com.noon.noon2.entity.chat.ChatMessage"" }"
I,2025-12-16 06:16:09.000004,6940f929b7e9a1769e09b7b6,ad1d9d2d-e9ff-4691-b178-50d1d68652aa,نسمع,e40659af-af5b-4b40-ab0b-90be7d20ce98,651253,STUDENT,70712,سارة السبيعي,,1765865769758,2025-12-16 06:16:09,1,"{ ""_id"" : { ""$oid"" : ""6940f929b7e9a1769e09b7b6"" }, ""id"" : ""ad1d9d2d-e9ff-4691-b178-50d1d68652aa"", ""text"" : ""نسمع"", ""chat_id"" : ""e40659af-af5b-4b40-ab0b-90be7d20ce98"", ""creator_id"" : 651253, ""user_type"" : ""STUDENT"", ""metadata"" : { ""courseSessionId"" : 70712 }, ""creator_metadata"" : { ""name"" : ""سارة السبيعي"", ""avatarUrl"" : { ""url"" : ""https://cdn.studyatnoon.com/public/school_student/651253/2ea99335-56ad-4ab5-a2b8-7cd72a9c30ab_thumbnail.jpeg"" } }, ""created_at"" : { ""$date"" : 1765865769758 }, ""_class"" : ""com.noon.noon2.entity.chat.ChatMessage"" }"
I,2025-12-16 05:40:24.000003,6940f0c8b7e9a1769e096d1b,c6ea6961-4923-47d2-b7f7-6a9d2a8bab03,ايي,e40659af-af5b-4b40-ab0b-90be7d20ce98,651253,STUDENT,70712,سارة السبيعي,,1765863624498,2025-12-16 05:40:24,1,"{ ""_id"" : { ""$oid"" : ""6940f0c8b7e9a1769e096d1b"" }, ""id"" : ""c6ea6961-4923-47d2-b7f7-6a9d2a8bab03"", ""text"" : ""ايي"", ""chat_id"" : ""e40659af-af5b-4b40-ab0b-90be7d20ce98"", ""creator_id"" : 651253, ""user_type"" : ""STUDENT"", ""metadata"" : { ""courseSessionId"" : 70712 }, ""creator_metadata"" : { ""name"" : ""سارة السبيعي"", ""avatarUrl"" : { ""url"" : ""https://cdn.studyatnoon.com/public/school_student/651253/2ea99335-56ad-4ab5-a2b8-7cd72a9c30ab_thumbnail.jpeg"" } }, ""created_at"" : { ""$date"" : 1765863624498 }, ""_class"" : ""com.noon.noon2.entity.chat.ChatMessage"" }"
I,2025-12-16 06:06:16.000003,6940f6d8b7e9a1769e09a28c,15fe45c3-4135-4314-afd1-7cc77525d21c,انااااااااااااااااااااااااااااااااااااااااااااااااااااااااا انااااااااااااااااااااااااااااااااااااااااااااااااااااااااا انااااااااااااااااااااااااااااااااااااااااااااااااااااااااا انااااااااااااااااااااااااااااااااااااااااااااااااااااااااا انااااااااااااااااااااااااااااااااااااااااااااااااااااااااا,e40659af-af5b-4b40-ab0b-90be7d20ce98,651201,STUDENT,70712,ساره السلمي,,1765865176934,2025-12-16 06:06:16,1,"{ ""_id"" : { ""$oid"" : ""6940f6d8b7e9a1769e09a28c"" }, ""id"" : ""15fe45c3-4135-4314-afd1-7cc77525d21c"", ""text"" : ""انااااااااااااااااااااااااااااااااااااااااااااااااااااااااا انااااااااااااااااااااااااااااااااااااااااااااااااااااااااا انااااااااااااااااااااااااااااااااااااااااااااااااااااااااا انااااااااااااااااااااااااااااااااااااااااااااااااااااااااا انااااااااااااااااااااااااااااااااااااااااااااااااااااااااا"", ""chat_id"" : ""e40659af-af5b-4b40-ab0b-90be7d20ce98"", ""creator_id"" : 651201, ""user_type"" : ""STUDENT"", ""metadata"" : { ""courseSessionId"" : 70712 }, ""creator_metadata"" : { ""name"" : ""ساره السلمي"", ""avatarUrl"" : { ""url"" : ""https://cdn.studyatnoon.com/public/school_student/651201/f9c31cc0-0ddc-4d78-94c2-c70b037e36d0_thumbnail.jpeg"" } }, ""created_at"" : { ""$date"" : 1765865176934 }, ""_class"" : ""com.noon.noon2.entity.chat.ChatMessage"" }"
I,2025-12-16 06:13:19.000003,6940f87fb7e9a1769e09b2cd,ad0f659e-1aca-414d-973f-03b9babb153e,اناا,e40659af-af5b-4b40-ab0b-90be7d20ce98,651196,STUDENT,70712,رغد الصانع ,,1765865599710,2025-12-16 06:13:19,1,"{ ""_id"" : { ""$oid"" : ""6940f87fb7e9a1769e09b2cd"" }, ""id"" : ""ad0f659e-1aca-414d-973f-03b9babb153e"", ""text"" : ""اناا"", ""chat_id"" : ""e40659af-af5b-4b40-ab0b-90be7d20ce98"", ""creator_id"" : 651196, ""user_type"" : ""STUDENT"", ""metadata"" : { ""courseSessionId"" : 70712 }, ""creator_metadata"" : { ""name"" : ""رغد الصانع "", ""avatarUrl"" : { ""url"" : ""https://cdn.non.sa/images/avatar/female/2.png"" } }, ""created_at"" : { ""$date"" : 1765865599710 }, ""_class"" : ""com.noon.noon2.entity.chat.ChatMessage"" }"
I,2025-12-16 06:16:23.000004,6940f937b7e9a1769e09b7f4,40962693-aa1e-48fa-87bd-c882c18e1793,😭😭😭,e40659af-af5b-4b40-ab0b-90be7d20ce98,651253,STUDENT,70712,سارة السبيعي,,1765865783720,2025-12-16 06:16:23,1,"{ ""_id"" : { ""$oid"" : ""6940f937b7e9a1769e09b7f4"" }, ""id"" : ""40962693-aa1e-48fa-87bd-c882c18e1793"", ""text"" : ""😭😭😭"", ""chat_id"" : ""e40659af-af5b-4b40-ab0b-90be7d20ce98"", ""creator_id"" : 651253, ""user_type"" : ""STUDENT"", ""metadata"" : { ""courseSessionId"" : 70712 }, ""creator_metadata"" : { ""name"" : ""سارة السبيعي"", ""avatarUrl"" : { ""url"" : ""https://cdn.studyatnoon.com/public/school_student/651253/2ea99335-56ad-4ab5-a2b8-7cd72a9c30ab_thumbnail.jpeg"" } }, ""created_at"" : { ""$date"" : 1765865783720 }, ""_class"" : ""com.noon.noon2.entity.chat.ChatMessage"" }"
I,2025-12-16 05:40:23.000004,6940f0c7b7e9a1769e096d18,b5826fb8-2cb5-4516-8d0c-a5ffa71f87bb,اي,e40659af-af5b-4b40-ab0b-90be7d20ce98,647340,STUDENT,70712,جوري المشرف,,1765863623649,2025-12-16 05:40:23,1,"{ ""_id"" : { ""$oid"" : ""6940f0c7b7e9a1769e096d18"" }, ""id"" : ""b5826fb8-2cb5-4516-8d0c-a5ffa71f87bb"", ""text"" : ""اي"", ""chat_id"" : ""e40659af-af5b-4b40-ab0b-90be7d20ce98"", ""creator_id"" : 647340, ""user_type"" : ""STUDENT"", ""metadata"" : { ""courseSessionId"" : 70712 }, ""creator_metadata"" : { ""name"" : ""جوري المشرف"", ""avatarUrl"" : { ""url"" : ""https://cdn.studyatnoon.com/public/school_student/647340/0ca34361-4477-4b3b-8d7a-82fec2865c7e_thumbnail.jpeg"" } }, ""created_at"" : { ""$date"" : 1765863623649 }, ""_class"" : ""com.noon.noon2.entity.chat.ChatMessage"" }"
I,2025-12-16 05:54:04.000002,6940f3fcb7e9a1769e0986bd,e1757167-fb04-4987-99a7-b1c7676b12f9,180,e40659af-af5b-4b40-ab0b-90be7d20ce98,647352,STUDENT,70712,موضي الزهراني,,1765864444421,2025-12-16 05:54:04,1,"{ ""_id"" : { ""$oid"" : ""6940f3fcb7e9a1769e0986bd"" }, ""id"" : ""e1757167-fb04-4987-99a7-b1c7676b12f9"", ""text"" : ""180"", ""chat_id"" : ""e40659af-af5b-4b40-ab0b-90be7d20ce98"", ""creator_id"" : 647352, ""user_type"" : ""STUDENT"", ""metadata"" : { ""courseSessionId"" : 70712 }, ""creator_metadata"" : { ""name"" : ""موضي الزهراني"", ""avatarUrl"" : { ""url"" : ""https://cdn.studyatnoon.com/public/school_student/647352/4b366e9f-97dc-4a3b-a030-38f6f327ad9d_thumbnail.png"" } }, ""created_at"" : { ""$date"" : 1765864444421 }, ""_class"" : ""com.noon.noon2.entity.chat.ChatMessage"" }"
I,2025-12-16 06:15:05.000003,6940f8e9b7e9a1769e09b637,299812db-ea48-4d27-8ff0-c18a07360031,يتكون نفسها,e40659af-af5b-4b40-ab0b-90be7d20ce98,648844,STUDENT,70712,يالا عقيلي,,1765865705562,2025-12-16 06:15:05,1,"{ ""_id"" : { ""$oid"" : ""6940f8e9b7e9a1769e09b637"" }, ""id"" : ""299812db-ea48-4d27-8ff0-c18a07360031"", ""text"" : ""يتكون نفسها"", ""chat_id"" : ""e40659af-af5b-4b40-ab0b-90be7d20ce98"", ""creator_id"" : 648844, ""user_type"" : ""STUDENT"", ""metadata"" : { ""courseSessionId"" : 70712 }, ""creator_metadata"" : { ""name"" : ""يالا عقيلي"", ""avatarUrl"" : { ""url"" : ""https://cdn.studyatnoon.com/public/school_student/648844/0c922d86-3eed-4c97-9d3b-eeea37f895f8_thumbnail.jpeg"" } }, ""created_at"" : { ""$date"" : 1765865705562 }, ""_class"" : ""com.noon.noon2.entity.chat.ChatMessage"" }"
I,2025-12-16 05:52:10.000004,6940f38ab7e9a1769e09835e,c77c6bf0-feba-4106-80da-e1cc34534b16,كيف الحل الذهني شسوت,e40659af-af5b-4b40-ab0b-90be7d20ce98,648921,STUDENT,70712,حصه سعود,,1765864330871,2025-12-16 05:52:10,1,"{ ""_id"" : { ""$oid"" : ""6940f38ab7e9a1769e09835e"" }, ""id"" : ""c77c6bf0-feba-4106-80da-e1cc34534b16"", ""text"" : ""كيف الحل الذهني شسوت"", ""chat_id"" : ""e40659af-af5b-4b40-ab0b-90be7d20ce98"", ""creator_id"" : 648921, ""user_type"" : ""STUDENT"", ""metadata"" : { ""courseSessionId"" : 70712 }, ""creator_metadata"" : { ""name"" : ""حصه سعود"", ""avatarUrl"" : { ""url"" : ""https://cdn.studyatnoon.com/public/school_student/648921/a74e456d-f24a-4963-bb5f-e0b38cc6195c_thumbnail.jpeg"" } }, ""created_at"" : { ""$date"" : 1765864330871 }, ""_class"" : ""com.noon.noon2.entity.chat.ChatMessage"" }"
