attempt_id,poll_type,poll_type_2,poll_id,poll_source,course_id,course_session_id,on_demand_session_id,evaluation_id,classroom_activity_id,is_course_session_deleted,poll_answered,poll_seen,user_id,question_type,question_id,question_text,question_image_flag,question_format,show_correct_answer,choice_type,selected_choice_id,submitted_choice_text,correct_choice_id,is_correct_answer,poll_start_time,poll_end_time,poll_duration,total_choices_selected,creator_id,is_poll_deleted,poll_created_at,poll_updated_at,choice_submitted_at,rn,,,,,,,,,,,
mcq15195867,mcq,EXIT_TICKET,342115,course session,14796,70690,,,148836,0,1,1,647404,has correct answer,18098,مستطيل داخله ٦ دوائر متطابقة ، أوجد قطر الدائرة ؟,1,image and text,0,MCQ,91485,,91485,1,12/16/25 6:15,12/16/25 6:15,17,1,557612,0,12/11/25 10:35,12/11/25 10:35,12/16/25 6:15,1,,,,,,,,,,,
mcq15195993,mcq,EXIT_TICKET,342115,course session,14796,70690,,,148836,0,1,1,648959,has correct answer,18098,مستطيل داخله ٦ دوائر متطابقة ، أوجد قطر الدائرة ؟,1,image and text,0,MCQ,91485,,91485,1,12/16/25 6:16,12/16/25 6:16,12,3,557612,0,12/11/25 10:35,12/11/25 10:35,12/16/25 6:16,1,,,77,poll_type_2,(All),,,,,,
mcq15195818,mcq,EXIT_TICKET,342115,course session,14796,70690,,,148836,0,1,1,647306,has correct answer,18098,مستطيل داخله ٦ دوائر متطابقة ، أوجد قطر الدائرة ؟,1,image and text,0,MCQ,89471,,91485,0,12/16/25 6:14,12/16/25 6:15,27,1,557612,0,12/11/25 10:35,12/11/25 10:35,12/16/25 6:15,1,,,,,,,,,,,
mcq15195820,mcq,EXIT_TICKET,342115,course session,14796,70690,,,148836,0,1,1,647426,has correct answer,18098,مستطيل داخله ٦ دوائر متطابقة ، أوجد قطر الدائرة ؟,1,image and text,0,MCQ,88112,,91485,0,12/16/25 6:14,12/16/25 6:14,10,1,557612,0,12/11/25 10:35,12/11/25 10:35,12/16/25 6:14,1,,,,Row Labels,Sum of is_correct_answer,Sum of poll_answered,Count of user_id,,,,
mcq15195870,mcq,EXIT_TICKET,342115,course session,14796,70690,,,148836,0,1,1,657525,has correct answer,18098,مستطيل داخله ٦ دوائر متطابقة ، أوجد قطر الدائرة ؟,1,image and text,0,MCQ,91485,,91485,1,12/16/25 6:15,12/16/25 6:15,43,1,557612,0,12/11/25 10:35,12/11/25 10:35,12/16/25 6:15,1,,,,148841,3,12,17,0.176470588,,#REF!,#REF!
mcq15195862,mcq,EXIT_TICKET,342115,course session,14796,70690,,,148836,0,1,1,647748,has correct answer,18098,مستطيل داخله ٦ دوائر متطابقة ، أوجد قطر الدائرة ؟,1,image and text,0,MCQ,91485,,91485,1,12/16/25 6:14,12/16/25 6:14,20,4,557612,0,12/11/25 10:35,12/11/25 10:35,12/16/25 6:14,1,,,,148840,7,11,18,,,,#REF!
mcq15195924,mcq,EXIT_TICKET,342115,course session,14796,70690,,,148836,0,1,1,648953,has correct answer,18098,مستطيل داخله ٦ دوائر متطابقة ، أوجد قطر الدائرة ؟,1,image and text,0,MCQ,83110,,91485,0,12/16/25 6:15,12/16/25 6:15,1,1,557612,0,12/11/25 10:35,12/11/25 10:35,12/16/25 6:15,1,,,,148839,5,14,19,,,,#REF!
mcq15196018,mcq,EXIT_TICKET,342115,course session,14796,70690,,,148836,0,1,1,648986,has correct answer,18098,مستطيل داخله ٦ دوائر متطابقة ، أوجد قطر الدائرة ؟,1,image and text,0,MCQ,91485,,91485,1,12/16/25 6:14,12/16/25 6:18,237,2,557612,0,12/11/25 10:35,12/11/25 10:35,12/16/25 6:18,1,,,,148838,10,14,20,,,,
mcq15195960,mcq,EXIT_TICKET,342115,course session,14796,70690,,,148836,0,1,1,647739,has correct answer,18098,مستطيل داخله ٦ دوائر متطابقة ، أوجد قطر الدائرة ؟,1,image and text,0,MCQ,91485,,91485,1,12/16/25 6:15,12/16/25 6:15,11,1,557612,0,12/11/25 10:35,12/11/25 10:35,12/16/25 6:15,1,,,,148837,21,85,93,,,,
mcq15195814,mcq,EXIT_TICKET,342115,course session,14796,70690,,,148836,0,1,1,647433,has correct answer,18098,مستطيل داخله ٦ دوائر متطابقة ، أوجد قطر الدائرة ؟,1,image and text,0,MCQ,88112,,91485,0,12/16/25 6:14,12/16/25 6:15,38,1,557612,0,12/11/25 10:35,12/11/25 10:35,12/16/25 6:15,1,,,,148836,31,58,64,,,,
mcq15195830,mcq,EXIT_TICKET,342115,course session,14796,70690,,,148836,0,1,1,651452,has correct answer,18098,مستطيل داخله ٦ دوائر متطابقة ، أوجد قطر الدائرة ؟,1,image and text,0,MCQ,91485,,91485,1,12/16/25 6:14,12/16/25 6:14,9,1,557612,0,12/11/25 10:35,12/11/25 10:35,12/16/25 6:14,1,,,,Grand Total,77,194,231,0.333333333,,,
mcq15195899,mcq,EXIT_TICKET,342115,course session,14796,70690,,,148836,0,1,1,647499,has correct answer,18098,مستطيل داخله ٦ دوائر متطابقة ، أوجد قطر الدائرة ؟,1,image and text,0,MCQ,91485,,91485,1,12/16/25 6:15,12/16/25 6:15,9,1,557612,0,12/11/25 10:35,12/11/25 10:35,12/16/25 6:15,1,,,,,,,,,,,
mcq15195821,mcq,EXIT_TICKET,342115,course session,14796,70690,,,148836,0,0,0,652933,has correct answer,18098,مستطيل داخله ٦ دوائر متطابقة ، أوجد قطر الدائرة ؟,1,image and text,0,MCQ,-1,,91485,,12/16/25 6:14,12/16/25 6:14,,0,557612,0,12/11/25 10:35,12/11/25 10:35,,1,,,,,,,,,,,
mcq15195817,mcq,EXIT_TICKET,342115,course session,14796,70690,,,148836,0,0,0,652938,has correct answer,18098,مستطيل داخله ٦ دوائر متطابقة ، أوجد قطر الدائرة ؟,1,image and text,0,MCQ,-1,,91485,,12/16/25 6:14,12/16/25 6:14,,0,557612,0,12/11/25 10:35,12/11/25 10:35,,1,,,,,,,,,,,
mcq15195815,mcq,EXIT_TICKET,342115,course session,14796,70690,,,148836,0,1,1,647496,has correct answer,18098,مستطيل داخله ٦ دوائر متطابقة ، أوجد قطر الدائرة ؟,1,image and text,0,MCQ,91485,,91485,1,12/16/25 6:14,12/16/25 6:15,34,1,557612,0,12/11/25 10:35,12/11/25 10:35,12/16/25 6:15,1,,,,,,,,,,,
mcq15195833,mcq,EXIT_TICKET,342115,course session,14796,70690,,,148836,0,1,1,648951,has correct answer,18098,مستطيل داخله ٦ دوائر متطابقة ، أوجد قطر الدائرة ؟,1,image and text,0,MCQ,88112,,91485,0,12/16/25 6:14,12/16/25 6:15,39,1,557612,0,12/11/25 10:35,12/11/25 10:35,12/16/25 6:15,1,,,,,,,,,,,
